201385001,SS13108,B-,ds
201385002,SS13108,B+,ds
201385003,SS13108,A-,ds
201385004,SS13108,B-,ds
201385005,SS13108,B,ds
201385006,SS13108,B+,ds
201385007,SS13108,B-,ds
201385008,SS13108,A-,ds
201385009,SS13108,B,ds
201385010,SS13108,B+,ds
201385012,SS13108,B+,ds
201385013,SS13108,B-,ds
201385014,SS13108,B+,ds
201385015,SS13108,B+,ds
201385016,SS13108,A-,ds
201385017,SS13108,B+,ds
201385018,SS13108,B,ds
201385019,SS13108,B,ds
201385020,SS13108,B,ds
201385021,SS13108,B-,ds
201385022,SS13108,B-,ds
201385023,SS13108,B,ds
201385024,SS13108,B-,ds
201385025,SS13108,B+,ds
201385026,SS13108,B-,ds
201385027,SS13108,B-,ds
201385028,SS13108,B,ds
201385029,SS13108,B-,ds
201385030,SS13108,B-,ds
201385031,SS13108,B-,ds
201385032,SS13108,B-,ds
201385033,SS13108,B-,ds
201385034,SS13108,B-,ds
201385035,SS13108,A-,ds
201385036,SS13108,B+,ds
201385037,SS13108,B,ds
201385038,SS13108,B-,ds
201385039,SS13108,B+,ds
201385040,SS13108,B,ds
201385041,SS13108,B+,ds
201385042,SS13108,B+,ds
201385043,SS13108,B+,ds
201385044,SS13108,B,ds
201385045,SS13108,A-,ds
201385046,SS13108,B+,ds
201385047,SS13108,B,ds
201385048,SS13108,B-,ds
201385049,SS13108,B,ds
201385050,SS13108,B+,ds
201385051,SS13108,B,ds
201385052,SS13108,B,ds
201385053,SS13108,B+,ds
201385054,SS13108,B-,ds
201385055,SS13108,B+,ds
201385056,SS13108,B+,ds
201385057,SS13108,B-,ds
201385058,SS13108,A-,ds
201385059,SS13108,B+,ds
201385060,SS13108,B,ds
201385061,SS13108,B+,ds
201385062,SS13108,B+,ds
201385064,SS13108,B+,ds
