201385001,SS13103,B-,fdss
201385002,SS13103,B-,fdss
201385003,SS13103,B+,fdss
201385004,SS13103,B-,fdss
201385005,SS13103,B-,fdss
201385006,SS13103,B-,fdss
201385007,SS13103,B-,fdss
201385008,SS13103,B,fdss
201385009,SS13103,B-,fdss
201385010,SS13103,B-,fdss
201385012,SS13103,B-,fdss
201385013,SS13103,B-,fdss
201385014,SS13103,B-,fdss
201385015,SS13103,B-,fdss
201385016,SS13103,B,fdss
201385017,SS13103,B,fdss
201385018,SS13103,B-,fdss
201385019,SS13103,B-,fdss
201385020,SS13103,B-,fdss
201385021,SS13103,B-,fdss
201385022,SS13103,B,fdss
201385023,SS13103,B-,fdss
201385024,SS13103,B-,fdss
201385025,SS13103,B-,fdss
201385026,SS13103,B,fdss
201385027,SS13103,B-,fdss
201385028,SS13103,B-,fdss
201385029,SS13103,B,fdss
201385030,SS13103,B-,fdss
201385031,SS13103,B-,fdss
201385032,SS13103,B,fdss
201385033,SS13103,B-,fdss
201385034,SS13103,B-,fdss
201385035,SS13103,B-,fdss
201385036,SS13103,B-,fdss
201385037,SS13103,B+,fdss
201385038,SS13103,B-,fdss
201385039,SS13103,B+,fdss
201385040,SS13103,B-,fdss
201385041,SS13103,B-,fdss
201385042,SS13103,B,fdss
201385043,SS13103,B-,fdss
201385044,SS13103,B-,fdss
201385045,SS13103,B-,fdss
201385046,SS13103,B-,fdss
201385047,SS13103,B,fdss
201385048,SS13103,B-,fdss
201385049,SS13103,B-,fdss
201385050,SS13103,B-,fdss
201385051,SS13103,B-,fdss
201385052,SS13103,B-,fdss
201385053,SS13103,B-,fdss
201385054,SS13103,B-,fdss
201385055,SS13103,B+,fdss
201385056,SS13103,B,fdss
201385057,SS13103,B-,fdss
201385058,SS13103,A-,fdss
201385059,SS13103,B,fdss
201385060,SS13103,B-,fdss
201385061,SS13103,B-,fdss
201385062,SS13103,A-,fdss
201385064,SS13103,B-,fdss
